VR,ST,TI,C0,C3,C03,TC,T0,T3,T03,TT,MC
4.8.2,default,3303,0,0,0,0,2,0,412,414,0
4.8.2,swarm,5306,18,38,2,58,649,9,673,1331,34
4.8.2,kconfig,4876,33,28,0,61,641,9,543,1193,45
5.4.0,default,3231,0,0,0,0,2,0,429,431,0
5.4.0,swarm,4511,0,0,0,0,524,2,650,1176,42
5.4.0,kconfig,4221,0,0,0,0,572,0,514,1086,36
6.1.0,default,3258,0,0,0,0,5,0,392,397,0
6.1.0,swarm,4331,0,0,0,0,553,1,600,1154,32
6.1.0,kconfig,4240,0,0,0,0,558,1,492,1051,36
7.1.0,default,2999,0,0,0,0,5,0,391,396,0
7.1.0,swarm,4118,0,0,0,0,440,2,606,1048,37
7.1.0,kconfig,3029,0,0,0,0,360,0,431,791,28
8.1.0,default,5511,0,0,0,0,1,0,707,708,0
8.1.0,swarm,8141,0,0,0,0,916,4,1154,2074,60
8.1.0,kconfig,4922,0,0,0,0,578,4,618,1200,37
9.1.0,default,5809,0,0,0,0,3,0,7.1.0,713,1
9.1.0,swarm,7843,0,0,0,0,852,3,1136,1991,58
9.1.0,kconfig,4943,0,0,0,0,615,5,572,1192,47
trunk,default,4711,0,0,0,0,17,0,555,572,1
trunk,swarm,7739,0,0,0,0,1052,4,870,1926,59
trunk,kconfig,5488,0,0,0,0,781,4,603,1388,48
